,company_name,company_url,status,ticker,scraper
90,Neoris,https://neoris.com,Private,,scraper_neoris
91,NexInfo,https://nexinfo.com/,Private,,scraper_nexinfo
92,North Highland,https://www.northhighland.com/,Private,,scraper_highland
93,OC&C Strategy Consultants,https://www.occstrategy.com,Private,,scraper_occstrategy
94,Oliver Wyman,https://www.oliverwyman.com/,Private,,scraper_oliverwyman
95,OpenCredo,https://opencredo.com/,Private,,scraper_opencredo
96,Oracle Consulting,https://www.oracle.com/uk/cloud/,Private,,scraper_oracle
97,PA Consulting Group,https://www.paconsulting.com/,Private,,scraper_paconsulting
98,PPD Inc,https://www.ppd.com/,Private,,scraper_ppd
99,PRA Health Sciences Inc,to complete,Private,,to complete
100,Parexel International Corp,to complete,Private,,to complete
101,Peru Consulting,https://peruconsulting.co.uk,Private,,scraper_peruconsulting
102,Planit Testing,https://www.planit.com/au/home,Private,,scraper_planittesting
103,Project One,https://projectone.com/,Private,,scraper_projectone
104,Projective,https://www.projectivegroup.com/,Private,,scraper_projective
105,Prolifics,https://prolifics.com/uk,Private,,scraper_prolifics
106,PwC,https://www.pwc.co.uk,Private,,scraper_pwc
107,RICOH CO LTD,https://www.ricoh.co.uk,Public,RICO.L,scraper_ricoh
108,Rockborne Limited,https://rockborne.com/,Private,,scraper_rockborne
109,Roland Berger,https://www.rolandberger.com,Private,,scraper_rolandberger
110,SEIKO EPSON CORP,https://corporate.epson/en/,Public,6724.T,to complete
111,Simon Kutcher & Partners,https://www.simon-kucher.com/en,Private,,scraper_simonkutcher
112,SkillStorm,to complete,Private,,to complete
113,Slalom,https://www.slalom.com/,Private,,scraper_slalom
114,Softwire,https://www.softwire.com,Private,,scraper_softwire
115,Sparta Global,https://www.spartaglobal.com,Private,,scraper_spartaglobal
116,Spring Studios,to complete,Private,,to complete
117,Strategy & London,to complete,Private,,scraper_strategyand
118,Sutherland,https://www.sutherlandglobal.com/,Private,,scraper_sutherland
119,Switchfast Technologies,https://teamascend.com/,Private,,scraper_ascend
120,Syneos Health Inc,https://www.syneoshealth.com,Private,,scraper_syneos
121,TAG Solutions,https://tagsolutions.com/,Private,,scraper_tagsolutions
122,Tata Consultancy Services Limited,https://www.tcs.com,Public,TCS.BO,scraper_tcs
123,Tech Mahindra Ltd,https://www.techmahindra.com,Public,TECHM.BO,scraper_mahindra
124,Ten10,https://ten10.com,Private,,scraper_ten10
125,Terillium,https://terillium.com,Private,,scraper_terillium
126,Testhouse Ltd,https://www.testhouse.net/,Private,,scraper_testhouse
127,The Berkeley Partnership,https://www.berkeleypartnership.com,Private,,scraper_berkeley
128,The PSC,https://thepsc.co.uk,Private,,scraper_psc
129,Thoughtworks,https://www.thoughtworks.com/en-gb,Private,,scraper_thoughtworks
130,Ultimus Fund Solutions,to complete,Private,,to complete
131,Verisk Analytics Inc,https://www.verisk.com/en-gb,Public,VRSK,scraper_verisk
132,Wavestone,https://www.wavestone.com/en/,Private,,scraper_wavestone
133,Wipro Limited,https://www.wipro.com/,Public,WIT,scraper_wipro
134,Xerox Corp,https://www.xerox.co.uk/en-gb',Private,,scraper_xerox
135,ZS,https://www.zs.com/,Private,,scraper_zs
136,Zoonou,https://zoonou.com,Private,,scraper_zoonou
137,a1qa,https://www.a1qa.com,Private,,scraper_a1qa
138,mthree,https://mthree.com/,Private,,scraper_mthree
